name,sex,country_cod),country,affiliate_name,age,height,weight
Streat Hoerner,M,US,United States,CrossFit Alioth,25,69 in,195 lb
Raphael Durand,M,FR,France,NorCal CrossFit Redwood City,29,69 in,
Brendan Willis,M,CA,Canada,IST CrossFit,31,68 in,169 lb
Cody Anderson,M,US,United States,CrossFit Magnify,28,67 in,170 lb
Maximilian Henze,M,DE,Germany,,24,170 cm,80 kg
Rob Forte,M,AU,Australia,Reebok CrossFit Frankston,33,174 cm,89 kg
Josh Woodhull,M,US,United States,CrossFit Maven,29,73 in,200 lb
Luis Oscar Mora,M,MX,Mexico,,21,67 in,83 kg
Peter Mason,M,US,United States,CrossFit EXP,25,70 in,175 lb
Dalton Mankin,M,US,United States,CrossFit Wild West,24,69 in,185 lb
Willy Kane,M,GB,United Kingdom,CrossFit WestMids,33,176 cm,187 lb
Darwin Perez,M,MX,Mexico,CrossFit 3 Sons,31,67 in,180 lb
Jacob Pfaff,M,US,United States,CrossFit Noble Defender,28,67 in,215 lb
Stefano Migliorini,M,IT,Italy,Reebok CrossFit Officine,31,173 cm,84 kg
Aaron Hanna,M,US,United States,CrossFit Westchase,31,73 in,210 lb
Marshall Creed,M,US,United States,CrossFit 217,30,67 in,172 lb
Bastian Neuger,M,DE,Germany,Reebok CrossFit Herzobase,29,183 cm,88 kg
Phil Toon,M,US,United States,CrossFit Majestic,22,70 in,190 lb
Josh Gervais,M,CA,Canada,Strongmill CrossFit,28,178 cm,190 lb
Aleksandr Plyushkin,M,RU,Russian Federation,Backstage CrossFit,29,174 cm,88 kg
Phil Hesketh,M,GB,United Kingdom,CrossFit Walleye,29,180 cm,210 lb
Adam Klink,M,US,United States,CrossFit Krypton,30,72 in,215 lb
Jamie Headon,M,IE,Ireland,CrossFit C2F,27,174 cm,88 kg
Luka Đukić,M,RS,Serbia,,21,182 cm,91 kg
Nate Long,M,US,United States,FURYAN CrossFit,29,67 in,185 lb
Mike Wagner,M,US,United States,CrossFit Fond du Lac,27,70 in,195 lb
Isaac Farias,M,MX,Mexico,,28,166 cm,175 lb
Jack Rozema,M,US,United States,CrossFit 614,24,69 in,200 lb
Kevin Winkens,M,DE,Germany,CrossFit Vitus,30,175 cm,83 kg
Nick Bloch,M,US,United States,CrossFit Fond du Lac,34,72 in,210 lb
Lucas Heuze,M,FR,France,CrossFit Lyon,25,179 cm,86 kg
Julian Serna,M,CO,Colombia,CrossFit Soul Miami,36,71 in,500 kg
Nicholas DelGrande,M,US,United States,CrossFit Milford,28,67 in,187 lb
Peter Shaw,M,CA,Canada,CrossFit NCR,30,185 cm,215 lb
Zach Watts,M,US,United States,Ft. Wright CrossFit,24,72 in,195 lb
Aniol Ekai,M,ES,Spain,CrossFit 77 Feet,23,187 cm,89 kg
Kealan Henry,M,ZA,South Africa,CrossFit Pamiers,27,,
Logan Southard,M,US,United States,CrossFit Ho'ola,25,52 in,69 lb
Sigurður Þrastarson,M,IS,Iceland,CrossFit Akureyri,36,179 cm,91 kg
Juan Manuel Seitun,M,UY,Uruguay,B2 CrossFit,26,179 cm,90 kg
Tom Lengyel,M,AU,Australia,CrossFit Geelong,29,169 cm,165 lb
Nicola Bonura,M,IT,Italy,Reebok CrossFit Alcamo,26,180 cm,187 lb
Omar Martinez,M,VE,Venezuela,CrossFit 4 L,28,2 cm,76 kg
Sergey Koltovskoy,M,RU,Russian Federation,CrossFit 19.05,33,180 cm,88 kg
Jay Crouch,M,AU,Australia,Reebok CrossFit Frankston,21,,
Jayson Hopper,M,US,United States,CrossFit Athletes Arena,22,73 in,215 lb
Thomas Wilson,M,GB,United Kingdom,CrossFit Castaway,29,72 in,94 kg
Ioannis Papadopoulos,M,GR,Greece,The Core Force CrossFit,33,188 cm,105 kg
John Coltey,M,US,United States,CrossFit Laminin,31,69 in,195 lb
Luke McMahon,M,AU,Australia,CrossFit Canberra,25,175 cm,175 kg
Martin Fuentes,M,CL,Chile,,23,166 cm,73 kg
Garrett Clark,M,US,United States,Three Kings CrossFit,21,69 in,179 lb
Guillaume Magnouat,M,FR,France,CrossFit Illiberis,30,181 cm,88 kg
max olivestrand,M,SE,Sweden,CrossFit Nordic,31,,
Zeke Grove,M,AU,Australia,CrossFit Carv,28,169 cm,182 lb
Dusty Sulon,M,US,United States,CrossFit Danville,35,72 in,185 lb
Kyle Zozaya,M,US,United States,CrossFit Infernal,28,70 in,195 lb
Antony Monks,M,GB,United Kingdom,CrossFit Yas,30,72 in,88 kg
Royce Dunne,M,AU,Australia,CrossFit Torian,29,183 cm,102 kg
Jonathan Gibson,M,CA,Canada,,30,74 in,220 lb
Sigurdur Jonsson,M,IS,Iceland,CrossFit XY,29,175 cm,90 kg
Nicolas Bidarte,M,AR,Argentina,,26,171 cm,88 kg
Tyler Tosunian,M,US,United States,LumberYard CrossFit,29,67 in,177 lb
Marcin Szybaj,M,PL,Poland,Stajnia CrossFit,29,178 cm,88 kg
Kenneth Hart,M,US,United States,Golden Triangle CrossFit,33,70 in,194 lb
Anderon Primo,M,BR,Brazil,CrossFit Bauru 2,25,180 cm,205 lb
Elijah Muhammad,M,US,United States,CrossFit Unorthodox,32,72 in,194 lb
Lucas Parker,M,CA,Canada,CrossFit Colosseum,30,68 in,190 lb
Giovanni Contreras,M,US,United States,Lone Star CrossFit,29,72 in,198 lb
Dami Martínez,M,ES,Spain,CrossFit 4 Friends,27,,
James Hobart,M,US,United States,CrossFit Boston,34,68 in,185 lb
Trent Williams,M,ZA,South Africa,CrossFit PBM,26,180 cm,91 kg
Marlon Azurdia,M,GT,Guatemala,,34,176 cm,194 lb
Victor Ljungdal,M,SE,Sweden,Lådan CrossFit,24,172 cm,85 kg
Daniel Skov,M,DK,Denmark,CrossFit Nordvest,25,177 cm,81 kg
Tommy Vinas,M,US,United States,BLFC CrossFit,23,71 in,205 lb
AJ Visser,M,ZA,South Africa,,34,180 cm,86 kg
Casey Crable,M,US,United States,Long Road CrossFit,27,72 in,215 lb
Justin Swart,M,ZA,South Africa,Cape CrossFit,29,175 cm,85 kg
James McLaughlan,M,US,United States,Five Lakes CrossFit,32,65 in,158 lb
Nathan Horner,M,AU,Australia,CrossFit Greater West,30,171 cm,86 kg
Jose Leclerc,M,CA,Canada,CrossFit Sainte Foy,24,68 in,175 lb
Bryan Wong,M,US,United States,CrossFit Haymaker,33,69 in,203 lb
Evan Rogers,M,US,United States,Top Tier CrossFit,26,71 in,182 lb
Dane Mclaughlin,M,US,United States,CrossFit San Luis Obispo,33,73 in,190 lb
Keanu Redongo,M,US,United States,CrossFit Ergo,24,67 in,175 lb
Kurtis Jackson,M,GB,United Kingdom,CrossFit Wollongong,27,167 cm,80 kg
Fiodor Serkov,M,RU,Russian Federation,,28,175 cm,90 kg
Giovanni Angelozzi,M,IT,Italy,CrossFit Teramo,27,,
Topias Romo,M,FI,Finland,CrossFit Pieksamaki,26,,
Sean Gordon,M,US,United States,CrossFit LionHeart,22,68 in,175 lb
Angelo Brussich,M,US,United States,SC CrossFit 165,29,69 in,195 lb
William Sanchez,M,CR,Costa Rica,Training PIT CrossFit,29,67 in,183 lb
Adam Leaney,M,AU,Australia,CrossFit Mode,27,184 cm,93 kg
Bronislaw Olenkowicz,M,PL,Poland,,31,182 cm,99 kg
Oj Washington,M,US,United States,Bear Republic CrossFit,34,70 in,184 lb
Nicholas Thomas,M,US,United States,CrossFit Marysville,29,68 in,193 lb
Liam Hogan,M,GB,United Kingdom,Coast Side CrossFit,29,178 cm,174 lb
Sergey Chadin,M,RU,Russian Federation,Bunker D-6 CrossFit,26,178 cm,82 kg
Landon Walker,M,US,United States,,30,,
George Sterner,M,US,United States,BrewCity CrossFit,21,69 in,185 lb
Anders Gronsund,M,NO,Norway,CrossFit Centrum,33,164 cm,72 kg
Kyle Flickinger,M,US,United States,CrossFit 8035,29,70 in,175 lb
Mike Dimitrakopoulos,M,GR,Greece,,31,176 cm,85 kg
Irving Hernandez,M,MX,Mexico,CrossFit Jaglion,32,60 in,155 lb
Guillaume Briant,M,FR,France,CrossFit Louvre II,26,180 cm,87 kg
Damian Conciatori,M,CA,Canada,,25,69 in,165 lb
La Robina Michele,M,IT,Italy,Bad Boars CrossFit,29,,
Tiziano Corriga,M,IT,Italy,CrossFit 548,35,173 cm,78 kg
Christian Harris,M,US,United States,CrossFit Athletic Academy,33,73 in,210 lb
Michael Spineti,M,CA,Canada,CrossFit The Flying V,34,171 cm,185 lb
Tom Watson,M,GB,United Kingdom,CrossFit Devils Path,30,178 cm,87 kg
Stas Solodov,M,RU,Russian Federation,CrossFit Geraklion Salut,35,175 cm,85 kg
Jay Adams,M,US,United States,CrossFit Union Square,32,70 in,195 lb
Vitor Caetano,M,BR,Brazil,Red Fever CrossFit,21,171 cm,86 kg
Connor McDonald,M,US,United States,CrossFit Roots,28,71 in,195 lb
Pietro Anderloni,M,IT,Italy,CrossFit B Side,23,,
Haydn Wolfsbauer,M,NZ,New Zealand,Boutique Athletic CrossFit,33,180 cm,92 kg
Tucker McLemore,M,US,United States,Rayzor Ranch CrossFit,27,70 in,188 lb
Jonathan Gauvreau,M,CA,Canada,CrossFit The Flying V,36,71 in,225 lb
David Santa Cruz Borgstrand,M,SE,Sweden,CrossFit Malmö,38,180 cm,91 kg
Dex Hopkins,M,US,United States,CrossFit Westwood,31,74 in,215 lb
Ram Dover,M,IL,Israel,CrossFit Namal,33,180 cm,86 kg
